id,price,address,bed,bath,type
369,1750,8,1,1,Apartment
370,2450,2,1,1,Apartment
371,1750,18,1,2,Apartment
372,2150,18,2,2,Apartment
373,3250,5,3,2,House
374,2000,6.5,1,1,Apartment
375,2325,6.5,2,2,Apartment
376,3000,6.5,3,2,Apartment
377,1900,18,1,1,Apartment
378,2450,18,2,2,Apartment
379,3000,2,2,2,Apartment
380,6000,2,3,3,Apartment
381,3200,18,3,2,Apartment
382,2150,6,1,1,Apartment
383,2700,6,2,2,Apartment
384,2050,8,1,1,Apartment
385,3650,2,2,2,Apartment
386,3750,2,2,2,Apartment
387,2750,19,2,2,Apartment
388,3300,2,2,2,Apartment
389,4200,2,2,2,Apartment
390,4230,2,3,2,Apartment
391,2500,1,1,1,Apartment
392,3245,1,2,2,Apartment
393,3575,1,2,2,Apartment
394,2000,19,1,1,Apartment
395,2335,19,2,2,Apartment
396,2850,19,3,2,Apartment
397,1900,9,1,1,Apartment
398,2250,9,2,2,Apartment
399,3045,9,3,3,Apartment
400,2000,6,1,1,Apartment
401,2400,6,2,2,Apartment
402,3200,6,3,2,Apartment
403,3150,2,2,2,Apartment
404,3572,2,2,2,Apartment
405,4000,2,2,2,Apartment
406,2450,2,1,1,Apartment
407,2900,2,2,2,Apartment
408,3900,2,3,2,Apartment
409,2050,15,2,2,House
410,2350,15,3,3,House
411,2500,15,4,3,House
412,1750,8,1,1,Apartment
413,2450,2,1,1,Apartment
414,1750,18,1,2,Apartment
415,2150,18,2,2,Apartment
416,3250,5,3,2,House
417,2000,6.5,1,1,Apartment
418,2325,6.5,2,2,Apartment
419,3000,6.5,3,2,Apartment
420,1900,18,1,1,Apartment
421,2450,18,2,2,Apartment
422,3000,2,2,2,Apartment
423,6000,2,3,3,Apartment
424,3200,18,3,2,Apartment
425,2150,6,1,1,Apartment
426,2700,6,2,2,Apartment
427,2050,8,1,1,Apartment
428,3650,2,2,2,Apartment
429,3750,2,2,2,Apartment
430,2750,19,2,2,Apartment
431,3300,2,2,2,Apartment
432,4200,2,2,2,Apartment
433,4230,2,3,2,Apartment
434,2500,1,1,1,Apartment
435,3245,1,2,2,Apartment
436,3575,1,2,2,Apartment
437,2000,19,1,1,Apartment
438,2335,19,2,2,Apartment
439,2850,19,3,2,Apartment
440,1900,9,1,1,Apartment
441,2250,9,2,2,Apartment
442,3045,9,3,3,Apartment
443,2000,6,1,1,Apartment
444,2400,6,2,2,Apartment
445,3200,6,3,2,Apartment
446,2450,2,1,1,Apartment
447,2900,2,2,2,Apartment
448,3900,2,3,2,Apartment
449,3150,2,2,2,Apartment
450,3572,2,2,2,Apartment
451,4000,2,2,2,Apartment
452,2050,15,2,2,House
453,2350,15,3,3,House
454,2500,15,4,3,House
455,1750,8,1,1,Apartment
456,2450,2,1,1,Apartment
457,1750,18,1,2,Apartment
458,2150,18,2,2,Apartment
459,3250,5,3,2,House
460,2000,6.5,1,1,Apartment
461,2325,6.5,2,2,Apartment
462,3000,6.5,3,2,Apartment
463,1900,18,1,1,Apartment
464,2450,18,2,2,Apartment
465,3000,2,2,2,Apartment
466,6000,2,3,3,Apartment
