id,price,address,bedroom,bathroom,area
163,"€395,000","5 Avondale Road, Phibsborough, Dublin 7",142 m²,2 Bath,59 m²
164,"€215,000","Apartment 104, Clifden Court, Dublin 7",2 Bed,1 Bath,41 m²
165,"€370,000","Apartment 74, The Willow, Rathfarnham, Dublin 14",1 Bath,2 Bath,70 m²
166,"AMV: €195,000","Apartment 99, Tolka Vale, Glasnevin, Dublin 11",52 m²,2 Bath,61 m²
167,"€350,000","76 Ballybough Road, Ballybough, Dublin 3",2 Bed,2 Bath,102 m²
168,"€875,000","93 The Stiles Road, Clontarf, Dublin 3",2 Bath,3 Bath,142 m²
169,"€475,000","37 Fitzwilliam Quay, Ringsend, Dublin 4",59 m²,2 Bath,96 m²
170,"€400,000","6 The Alders, Dunstaffnage Hall, St. Brigid's Church Rd, Stillorgan, Co. Dublin",1 Bed,1 Bath,73 m²
171,"€500,000","87 Abbeyfield, Milltown, Milltown, Dublin 6",1 Bath,2 Bath,87 m²
172,"€525,000","1A Cedarwood Green, Glasnevin, Dublin 11",41 m²,3 Bath,108 m²
173,"€570,000","3 Olney Mews, Rathgar Avenue, Rathgar, Dublin 6",2 Bed,3 Bath,116 m²
174,"€220,000","Apartment 19, The Granary, Dublin 8",2 Bath,1 Bath,43 m²
175,"€595,000","84 Cabra Park, Phibsborough, Dublin 7",70 m²,3 Bath,102 m²
176,"€375,000","Block A, 16 Bow Bridge Place, Kilmainham, Dublin 8",2 Bed,2 Bath,80 m²
177,"€350,000","8 Camac Court, Kilmainham, Dublin 8",2 Bath,1 Bath,55 m²
178,"€6,900,000","Mount Alverno, Sorrento Road, Dalkey, Co. Dublin",61 m²,5 Bath,655 m²
179,"€1,375,000","1 St. Kevin's Place Donovan Lane Blackpitts Dublin 8, Dublin 8",3 Bed,3 Bath,250 m²
180,"€595,000","9 Milltown Court, Milltown, Dublin 6",2 Bath,1 Bath,81 m²
181,"€895,000","Melrose, Kilgobbin Road, Sandyford, Dublin 18",5 Bed,3 Bath,208 m²
182,"€775,000","1 Churchview Park, Killiney, Co. Dublin",3 Bath,2 Bath,165 m²
